Timestamp	ICMP Ping	rDNS	Serviceprobe	Hostprobes	Syncscan	TcpIP Fingerprint	Traceroute	IP Seq	
1337292000	0	0	0	3886662	422495	0	0	0	
1337306400	0	0	0	10978638	1142861	0	0	0	
1337320800	0	0	0	13143563	1447405	0	0	0	
1337335200	0	0	0	12153669	1411958	0	0	0	
1337349600	0	0	0	9362301	1124897	0	0	0	
1337364000	0	0	0	7037916	808476	0	0	0	
1337378400	0	0	0	15133482	1593061	0	0	0	
1337392800	0	0	0	14807282	1711614	0	0	0	
1337407200	0	0	0	14001341	1562610	0	0	0	
1337421600	0	0	0	12364538	1401257	0	0	0	
1337436000	0	0	0	11033215	1235676	0	0	0	
1337450400	0	0	0	13147942	1405898	0	0	0	
1337464800	0	0	0	18621966	1913344	0	0	0	
1337479200	0	0	0	14547962	1576666	0	0	0	
1337493600	0	0	0	6176222	685531	0	0	0	
1337508000	0	0	0	14313536	1761283	0	0	0	
1337522400	0	0	0	14388452	1606721	0	0	0	
1337536800	0	0	0	14122022	1444947	0	0	0	
1337551200	0	0	0	362756	44043	0	0	0	
1337565600	0	0	0	593796	64745	0	0	0	
1337580000	0	0	0	5624032	612562	0	0	0	
1337594400	0	0	0	95665	11097	0	0	0	
1337608800	0	0	0	179554	20427	0	0	0	
1337623200	0	0	0	15819239	1749682	0	0	0	
1337637600	0	0	0	12349325	1302318	0	0	0	
1337652000	0	0	0	1763374	203498	0	0	0	
1337666400	0	0	0	858302	94455	0	0	0	
1337680800	0	0	0	257688	31439	0	0	0	
1337695200	0	0	0	631079	51767	0	0	0	
1337709600	0	0	0	588397	56959	0	0	0	
1337724000	0	0	0	207571	30387	0	0	0	
1337738400	0	0	0	606791	52923	0	0	0	
1337752800	0	0	0	8048271	815614	0	0	0	
1337767200	0	0	0	20201079	2272468	0	0	0	
1337781600	0	0	0	15864742	1981172	0	0	0	
1337796000	0	0	0	16507127	2009767	0	0	0	
1337810400	0	0	0	10086878	1251123	0	0	0	
1337824800	0	0	0	11050873	1167978	0	0	0	
1337839200	0	0	0	10261219	1132651	0	0	0	
1337853600	0	0	0	8956805	1016015	0	0	0	
1337868000	0	0	0	8976040	1008384	0	0	0	
1337882400	0	0	0	10170201	1076692	0	0	0	
1337896800	0	0	0	4036934	475320	0	0	0	
1337911200	0	0	0	1218468	147640	0	0	0	
1337925600	0	0	0	850645	104461	0	0	0	
1337940000	0	0	0	0	0	0	0	0	
1337954400	0	0	0	54191	9684	0	0	0	
1337968800	0	0	0	38108	6954	0	0	0	
1337983200	0	0	0	336426	43997	0	0	0	
1337997600	0	0	0	297202	29307	0	0	0	
1338012000	0	0	0	4987417	503579	0	0	0	
1338026400	0	0	0	14124475	1562947	0	0	0	
1338040800	0	0	0	15504175	1758200	0	0	0	
1338055200	0	0	0	17553536	2035548	0	0	0	
1338069600	0	0	0	17218700	1863249	0	0	0	
1338084000	0	0	0	7688131	945978	0	0	0	
1338098400	0	0	0	2101953	245801	0	0	0	
1338112800	0	0	0	710892	88201	0	0	0	
1338127200	0	0	0	28548	2874	0	0	0	
1338141600	0	0	0	22604	3593	0	0	0	
1338156000	0	0	0	546236	66957	0	0	0	
1338170400	0	0	0	5820	0	0	0	0	
1338184800	0	0	0	0	0	0	0	0	
1338199200	0	0	0	309616	38201	0	0	0	
1338213600	0	0	0	1896404	231843	0	0	0	
1338228000	0	0	0	9692892	1140345	0	0	0	
1338242400	0	0	0	19881506	2231425	0	0	0	
1338256800	0	0	0	19849622	2339228	0	0	0	
1338271200	0	0	0	14767812	1804065	0	0	0	
1338285600	0	0	0	7367006	983081	0	0	0	
1338300000	0	0	0	892724	110921	0	0	0	
1338314400	0	0	0	3252936	474375	0	0	0	
1338328800	0	0	0	43630	6368	0	0	0	
1338343200	0	0	0	10636731	1362751	0	0	0	
1338357600	0	0	0	8986315	1145006	0	0	0	
1338372000	0	0	0	7763730	983887	0	0	0	
1338386400	0	0	0	5192658	702461	0	0	0	
1338400800	0	0	0	5967608	733278	0	0	0	
1338415200	0	0	0	5939084	665144	0	0	0	
1338429600	0	0	0	5519602	663612	0	0	0	
1338444000	0	0	0	6151312	712484	0	0	0	
1338458400	0	0	0	2178334	281591	0	0	0	
1338472800	0	0	0	224841	28365	0	0	0	
1338487200	0	0	0	29378	4487	0	0	0	
1338501600	0	0	0	0	0	0	0	0	
1338516000	0	0	0	282930	27851	0	0	0	
1338530400	0	0	0	2285	0	0	0	0	
1338544800	0	0	0	4482	0	0	0	0	
1338559200	0	0	0	792158	105186	0	0	0	
1338573600	0	0	0	1094047	131773	0	0	0	
1338588000	0	0	0	13020383	1422474	0	0	0	
1338602400	0	0	0	41803885	4767893	0	0	0	
1338616800	0	0	0	37227650	4308391	0	0	0	
1338631200	0	0	0	32241207	3733727	0	0	0	
1338645600	0	0	0	29496136	3506007	0	0	0	
1338660000	0	0	0	48740460	5424334	0	0	0	
1338674400	0	0	0	36703208	3999700	0	0	0	
1338688800	0	0	0	42973365	4827423	0	0	0	
1338703200	0	0	0	44572413	5178042	0	0	0	
1338717600	0	0	0	43573167	5172006	0	0	0	
1338732000	0	0	0	40221126	4827323	0	0	0	
1338746400	0	0	0	60361631	6823551	0	0	0	
1338760800	0	0	0	48590948	5269968	0	0	0	
1338775200	0	0	0	52242511	5745699	0	0	0	
1338789600	0	0	0	40573303	4986577	0	0	0	
1338804000	0	0	0	44824501	5228422	0	0	0	
1338818400	0	0	0	46438075	5619466	0	0	0	
1338832800	0	0	0	41421269	4744899	0	0	0	
1338847200	0	0	0	30082111	3338181	0	0	0	
1338861600	0	0	0	5636393	630857	0	0	0	
1338876000	0	0	0	2010181	216510	0	0	0	
1338890400	0	0	0	662557	82793	0	0	0	
1338904800	0	0	0	34635	3825	0	0	0	
1338919200	0	0	0	0	0	0	0	0	
1338933600	0	0	0	0	0	0	0	0	
1338948000	0	0	0	0	0	0	0	0	
1338962400	0	0	0	0	0	0	0	0	
1338976800	0	0	0	0	0	0	0	0	
1338991200	0	0	0	24384	3449	0	0	0	
1339005600	0	0	0	15803166	1911106	0	0	0	
1339020000	0	0	0	3150468	363339	0	0	0	
1339034400	0	0	0	988495	106257	0	0	0	
1339048800	0	0	0	72979	7990	0	0	0	
1339063200	0	0	0	0	0	0	0	0	
1339077600	0	0	0	32189	3408	0	0	0	
1339092000	0	0	0	7371	0	0	0	0	
1339106400	0	0	0	262809	33318	0	0	0	
1339120800	0	0	0	0	0	0	0	0	
1339135200	0	0	0	0	0	0	3244	0	
1339149600	0	0	0	2947	0	0	7147	0	
1339164000	0	0	0	0	0	0	25572	0	
1339178400	0	0	0	11650	0	0	71736	0	
1339192800	0	0	0	2462742	297500	0	341321	0	
1339207200	0	0	0	9795045	1221427	0	529194	0	
1339221600	0	0	0	47787000	5625411	0	336221	0	
1339236000	0	0	0	52307907	6104844	0	285851	0	
1339250400	0	0	0	46644491	5558779	0	305227	0	
1339264800	0	0	0	41885622	4806662	0	276842	0	
1339279200	0	0	0	51795102	5696813	0	363061	0	
1339293600	0	0	0	49911231	6100229	0	362567	0	
1339308000	0	0	0	43164440	5323571	0	399041	0	
1339322400	0	0	0	33176893	4119670	0	366170	0	
1339336800	0	0	0	41810222	5122806	0	286928	0	
1339351200	0	0	0	44742100	5215111	0	221321	0	
1339365600	0	0	0	48705196	5536313	0	133393	0	
1339380000	0	0	0	62606990	7136958	0	70373	0	
1339394400	0	0	0	57577137	6879522	0	60399	0	
1339408800	0	0	0	57178143	6945544	0	48830	0	
1339423200	0	0	0	50917802	6312820	0	158309	0	
1339437600	0	0	0	40061800	5190216	0	60083	0	
1339452000	0	0	0	23543564	3255573	0	34362	0	
1339466400	0	0	0	9295011	1294383	0	95444	0	
1339480800	0	0	0	2209900	287557	0	36430	0	
1339495200	0	0	0	279513	40166	0	24821	0	
1339509600	0	0	0	0	0	0	117244	0	
1339524000	0	0	0	13361	0	0	64716	0	
1339538400	0	0	0	0	0	0	9122	0	
1339552800	0	0	0	0	0	0	89270	0	
1339567200	0	0	0	0	0	0	97988	0	
1339581600	0	0	0	0	0	0	262145	0	
1339596000	0	0	0	0	0	0	163918	0	
1339610400	0	0	0	0	0	0	324877	0	
1339624800	0	0	0	0	0	0	405143	0	
1339639200	0	0	0	0	0	0	577711	0	
1339653600	0	0	0	0	0	0	449626	0	
1339668000	0	0	0	0	0	0	399099	0	
1339682400	0	0	0	0	0	0	447224	0	
1339696800	0	0	0	0	0	0	49743	0	
1339711200	0	0	0	0	0	0	38272	0	
1339725600	0	0	0	0	0	0	2342	0	
1339740000	0	0	0	0	0	0	0	0	
1339754400	0	0	0	0	0	0	0	0	
1339768800	0	0	0	0	0	0	0	0	
1339783200	0	0	0	0	0	0	0	0	
1339797600	0	0	0	0	0	0	0	0	
1339812000	0	0	0	0	0	0	0	0	
1339826400	0	0	0	0	0	0	0	0	
1339840800	0	0	0	0	0	0	0	0	
1339855200	0	0	0	0	0	0	0	0	
1339869600	0	0	0	0	0	0	0	0	
1339884000	0	0	0	0	0	0	0	0	
1339898400	0	0	0	0	0	0	0	0	
1339912800	0	0	0	0	0	0	0	0	
1339927200	0	0	0	0	0	0	0	0	
1339941600	0	0	0	0	0	0	0	0	
1339956000	0	0	0	0	0	0	0	0	
1339970400	0	0	0	0	0	0	0	0	
1339984800	0	0	0	0	0	0	0	0	
1339999200	0	0	0	25208	3074	0	0	0	
1340013600	0	0	0	45546	4824	0	31539	0	
1340028000	0	0	0	22268	2684	0	74143	0	
1340042400	0	0	0	116084	19867	0	800696	0	
1340056800	0	0	0	859843	133490	14432	2016309	14078	
1340071200	0	0	0	3864158	606592	70831	1354965	67282	
1340085600	0	0	0	8947927	1421261	162548	1720800	159083	
